customerID,age,gender,Contract,MonthlyCharges,TotalCharges,TechSupport,InternetService,tenure,PaperlessBilling,PaymentMethod,Churn
7590-VHVEG,26,Female,Month-to-month,29.85,29.85,No,DSL,1,Yes,Electronic check,No
5575-GNVDE,27,Male,One year,56.95,1889.5,No,DSL,34,No,Mailed check,No
3668-QPYBK,19,Male,Month-to-month,53.85,108.15,No,DSL,2,Yes,Mailed check,Yes
7795-CFOCW,27,Male,One year,42.3,1840.75,Yes,DSL,45,No,Bank transfer (automatic),No
9237-HQITU,22,Female,Month-to-month,70.7,151.65,No,Fiber optic,2,Yes,Electronic check,Yes
9305-CDSKC,20,Female,Month-to-month,99.65,820.5,No,Fiber optic,8,Yes,Electronic check,Yes
1452-KIOVK,19,Male,Month-to-month,89.1,1949.4,No,Fiber optic,22,Yes,Credit card (automatic),No
6713-OKOMC,30,Female,Month-to-month,29.75,301.9,No,DSL,10,No,Mailed check,No
7892-POOKP,29,Female,Month-to-month,104.8,3046.05,Yes,Fiber optic,28,Yes,Electronic check,Yes
6388-TABGU,20,Male,One year,56.15,3487.95,No,DSL,62,No,Bank transfer (automatic),No
9763-GRSKD,26,Male,Month-to-month,49.95,587.45,No,DSL,13,Yes,Mailed check,No
7469-LKBCI,23,Male,Two year,18.95,326.8,No internet service,No,16,No,Credit card (automatic),No
8091-TTVAX,22,Male,One year,100.35,5681.1,No,Fiber optic,58,No,Credit card (automatic),No
0280-XJGEX,19,Male,Month-to-month,103.7,5036.3,No,Fiber optic,49,Yes,Bank transfer (automatic),Yes
5129-JLPIS,21,Male,Month-to-month,105.5,2686.05,Yes,Fiber optic,25,Yes,Electronic check,No
3655-SNQYZ,23,Female,Two year,113.25,7895.15,Yes,Fiber optic,69,No,Credit card (automatic),No
8191-XWSZG,22,Female,One year,20.65,1022.95,No internet service,No,52,No,Mailed check,No
9959-WOFKT,25,Male,Two year,106.7,7382.25,No,Fiber optic,71,No,Bank transfer (automatic),No
4190-MFLUW,26,Female,Month-to-month,55.2,528.35,Yes,DSL,10,No,Credit card (automatic),Yes
4183-MYFRB,21,Female,Month-to-month,90.05,1862.9,No,Fiber optic,21,Yes,Electronic check,No
8779-QRDMV,28,Male,Month-to-month,39.65,39.65,No,DSL,1,Yes,Electronic check,Yes
1680-VDCWW,23,Male,One year,19.8,202.25,No internet service,No,12,No,Bank transfer (automatic),No
1066-JKSGK,27,Male,Month-to-month,20.15,20.15,No internet service,No,1,No,Mailed check,Yes
3638-WEABW,21,Female,Two year,59.9,3505.1,Yes,DSL,58,Yes,Credit card (automatic),No
6322-HRPFA,26,Male,Month-to-month,59.6,2970.3,Yes,DSL,49,No,Credit card (automatic),No
6865-JZNKO,26,Female,Month-to-month,55.3,1530.6,No,DSL,30,Yes,Bank transfer (automatic),No
6467-CHFZW,29,Male,Month-to-month,99.35,4749.15,No,Fiber optic,47,Yes,Electronic check,Yes
8665-UTDHZ,23,Male,Month-to-month,30.2,30.2,No,DSL,1,No,Electronic check,Yes
5248-YGIJN,20,Male,Two year,90.25,6369.45,Yes,DSL,72,Yes,Credit card (automatic),No
8773-HHUOZ,24,Female,Month-to-month,64.7,1093.1,No,DSL,17,Yes,Mailed check,Yes
3841-NFECX,22,Female,Two year,96.35,6766.95,Yes,Fiber optic,71,Yes,Credit card (automatic),No
4929-XIHVW,23,Male,Month-to-month,95.5,181.65,No,Fiber optic,2,Yes,Credit card (automatic),No
6827-IEAUQ,24,Female,One year,66.15,1874.45,Yes,DSL,27,No,Mailed check,No
7310-EGVHZ,23,Male,Month-to-month,20.2,20.2,No internet service,No,1,No,Bank transfer (automatic),No
3413-BMNZE,28,Male,Month-to-month,45.25,45.25,No,DSL,1,No,Bank transfer (automatic),No
6234-RAAPL,23,Female,Two year,99.9,7251.7,Yes,Fiber optic,72,No,Bank transfer (automatic),No
6047-YHPVI,25,Male,Month-to-month,69.7,316.9,No,Fiber optic,5,Yes,Electronic check,Yes
6572-ADKRS,20,Female,Month-to-month,74.8,3548.3,No,Fiber optic,46,Yes,Credit card (automatic),No
5380-WJKOV,21,Male,Month-to-month,106.35,3549.25,No,Fiber optic,34,Yes,Electronic check,Yes
8168-UQWWF,21,Female,Month-to-month,97.85,1105.4,No,Fiber optic,11,Yes,Bank transfer (automatic),Yes
8865-TNMNX,23,Male,One year,49.55,475.7,No,DSL,10,No,Mailed check,No
9489-DEDVP,19,Female,Two year,69.2,4872.35,No,DSL,70,Yes,Credit card (automatic),No
9867-JCZSP,30,Female,One year,20.75,418.25,No internet service,No,17,No,Mailed check,No
4671-VJLCL,22,Female,Two year,79.85,4861.45,Yes,DSL,63,Yes,Credit card (automatic),No
4080-IIARD,26,Female,Month-to-month,76.2,981.45,Yes,DSL,13,Yes,Electronic check,No
3714-NTNFO,28,Female,Month-to-month,84.5,3906.7,No,Fiber optic,49,Yes,Electronic check,No
5948-UJZLF,19,Male,Month-to-month,49.25,97,No,DSL,2,No,Mailed check,No
7760-OYPDY,30,Female,Month-to-month,80.65,144.15,No,Fiber optic,2,Yes,Electronic check,Yes
7639-LIAYI,28,Male,Two year,79.75,4217.8,Yes,DSL,52,Yes,Credit card (automatic),No
2954-PIBKO,27,Female,Two year,64.15,4254.1,Yes,DSL,69,Yes,Credit card (automatic),No
8012-SOUDQ,30,Female,Month-to-month,90.25,3838.75,No,Fiber optic,43,Yes,Electronic check,No
9420-LOJKX,21,Female,Month-to-month,99.1,1426.4,No,Fiber optic,15,Yes,Credit card (automatic),Yes
6575-SUVOI,19,Female,Month-to-month,69.5,1752.65,Yes,DSL,25,Yes,Credit card (automatic),No
7495-OOKFY,22,Female,Month-to-month,80.65,633.3,No,Fiber optic,8,Yes,Credit card (automatic),Yes
4667-QONEA,26,Female,One year,74.85,4456.35,Yes,DSL,60,Yes,Credit card (automatic),No
1658-BYGOY,27,Male,Month-to-month,95.45,1752.55,No,Fiber optic,18,Yes,Electronic check,Yes
8769-KKTPH,30,Female,One year,99.65,6311.2,No,Fiber optic,63,Yes,Credit card (automatic),No
5067-XJQFU,21,Male,One year,108.45,7076.35,Yes,Fiber optic,66,Yes,Electronic check,No
3957-SQXML,20,Female,Two year,24.95,894.3,No internet service,No,34,No,Credit card (automatic),No
5954-BDFSG,27,Female,Two year,107.5,7853.7,Yes,Fiber optic,72,Yes,Credit card (automatic),No
0434-CSFON,20,Female,Month-to-month,100.5,4707.1,No,Fiber optic,47,Yes,Electronic check,No
1215-FIGMP,26,Male,Month-to-month,89.9,5450.7,No,Fiber optic,60,Yes,Bank transfer (automatic),No
0526-SXDJP,23,Male,Two year,42.1,2962,No,DSL,72,No,Bank transfer (automatic),No
0557-ASKVU,26,Female,One year,54.4,957.1,Yes,DSL,18,Yes,Credit card (automatic),No
5698-BQJOH,26,Female,Month-to-month,94.4,857.25,No,Fiber optic,9,No,Electronic check,Yes
5122-CYFXA,20,Female,Month-to-month,75.3,244.1,Yes,DSL,3,Yes,Electronic check,No
8627-ZYGSZ,26,Male,One year,78.9,3650.35,No,Fiber optic,47,Yes,Electronic check,No
3410-YOQBQ,24,Female,Two year,79.2,2497.2,Yes,DSL,31,No,Mailed check,No
